model,MNL
Cross fold parameters
seed,1234
numberFold,10
fractionTest,0.1
fractionVal,0.09000000000000001
Model parameters
earlyStopping,False
numberEpochs,50
regularization,0.0
learningRate,[0.001]
batchSize,32
embedding,False
tol,0.0001
early_stopping_patience,5
Model architecture
depth,5
width,20
model,MNL
Cross fold parameters
seed,1234
numberFold,10
fractionTest,0.1
fractionVal,0.09000000000000001
Model parameters
earlyStopping,False
numberEpochs,50
regularization,0.0
learningRate,[0.001]
batchSize,32
embedding,False
tol,0.0001
early_stopping_patience,5
Model architecture
depth,5
width,20
model,MNL
Cross fold parameters
seed,1234
numberFold,10
fractionTest,0.1
fractionVal,0.09000000000000001
Model parameters
earlyStopping,False
numberEpochs,50
regularization,0.0
learningRate,[0.001]
batchSize,32
embedding,False
tol,0.0001
early_stopping_patience,5
Model architecture
depth,5
width,20
numberParameters,3541
model,MNL
Cross fold parameters
seed,1234
numberFold,10
fractionTest,0.1
fractionVal,0.09000000000000001
Model parameters
earlyStopping,True
numberEpochs,50
regularization,0.0
learningRate,[0.001]
batchSize,32
embedding,False
tol,0.0001
early_stopping_patience,6
Model architecture
depth,5
width,20
numberParameters,3541
